replicate,saprot_macro_f1,blast_macro_f1,delta_saprot_minus_blast,sampled_groups,sampled_rows
159,0.4688567304670474,0.4780328101756673,-0.009176079708619889,181,307
160,0.42941436767963737,0.4559534722440483,-0.026539104564410942,181,323
161,0.4415718623048343,0.4508731054708937,-0.009301243166059403,181,334
162,0.391173317263702,0.45198752146144916,-0.060814204197747135,181,314
163,0.4307484786589525,0.5182527747941281,-0.08750429613517563,181,289
164,0.41600522952701213,0.4247217229740254,-0.008716493447013252,181,339
165,0.42249427276097873,0.4944231132740972,-0.07192884051311849,181,341
166,0.45476778182976646,0.4535676554784644,0.0012001263513020666,181,347
167,0.5002458625095919,0.45046804807488766,0.04977781443470425,181,308
168,0.4304394461207664,0.46895339661297114,-0.03851395049220474,181,287
169,0.4475317642971644,0.4489275317503082,-0.0013957674531437925,181,341
170,0.431532418218071,0.5195294982818444,-0.08799708006377338,181,284
171,0.3998685315820865,0.3781995442467583,0.021668987335328238,181,359
172,0.4644231439719911,0.4774820301675395,-0.013058886195548403,181,325
173,0.478327589877244,0.47168789141200745,0.006639698465236543,181,325
174,0.459848727016611,0.4107261246873179,0.04912260232929311,181,352
175,0.4938764691627287,0.4608624206648228,0.0330140484979059,181,310
176,0.47651435705622347,0.4428025189857251,0.03371183807049838,181,309
177,0.4011032664029509,0.46055748523172324,-0.05945421882877233,181,324
178,0.42826264531577085,0.48083895951543015,-0.0525763141996593,181,306
179,0.4301163215581007,0.4787457479590197,-0.048629426400918996,181,330
180,0.39401739797277324,0.45068951655415157,-0.05667211858137833,181,324
181,0.4103318541628235,0.4641108647561555,-0.05377901059333201,181,321
182,0.4836038087551405,0.4451416111773748,0.0384621975777657,181,327
183,0.4323644068625752,0.43886965233756875,-0.006505245474993537,181,351
184,0.49765400216566436,0.4779563186342847,0.01969768353137963,181,301
185,0.4066595776089158,0.480460299804015,-0.0738007221950992,181,347
186,0.4145077559093732,0.5028899379228463,-0.08838218201347309,181,327
187,0.46886480450332696,0.45693919036539965,0.01192561413792731,181,337
188,0.46533812026059074,0.4443153673256308,0.02102275293495992,181,311
189,0.48238697587433826,0.46922519967687615,0.013161776197462116,181,313
190,0.4875277934293658,0.4530485078643463,0.0344792855650195,181,308
191,0.4945896739003161,0.4879229688862282,0.0066667050140878925,181,296
192,0.46283238941070576,0.45118784909447923,0.011644540316226526,181,317
193,0.5021305877342951,0.5358503955518362,-0.033719807817541136,181,297
194,0.4726059070185844,0.4490916273748263,0.02351427964375813,181,318
195,0.44193630150474783,0.40190717287907957,0.040029128625668264,181,349
196,0.5022644232454986,0.4826707153550979,0.019593707890400658,181,292
197,0.4291265487386177,0.5239483259193809,-0.09482177718076318,181,290
198,0.4800365376895493,0.46684197585360376,0.013194561835945529,181,331
199,0.4514570901405235,0.4529132753134802,-0.0014561851729567032,181,356
200,0.5002451215317534,0.4635110373892492,0.036734084142504175,181,296
201,0.4700023731292892,0.47653522946882,-0.006532856339530768,181,321
202,0.5005354432935285,0.5043862487586614,-0.003850805465132945,181,313
203,0.49179105962899516,0.45644087784424553,0.035350181784749635,181,328
204,0.405886963884596,0.40153851173855604,0.0043484521460399606,181,344
205,0.43513034377861487,0.4527681442765073,-0.01763780049789243,181,341
206,0.45111336893476184,0.4455276087446473,0.00558576019011453,181,368
207,0.48183134913124837,0.4913113285763619,-0.009479979445113529,181,314
208,0.3698509694961499,0.5286435769085623,-0.15879260741241247,181,310
209,0.5073626862747999,0.4756841815572322,0.03167850471756767,181,293
210,0.43138525718926296,0.4886602292417191,-0.05727497205245613,181,334
211,0.4935488351044112,0.5297534420466751,-0.03620460694226385,181,300
212,0.45045805199855027,0.45864839423707465,-0.008190342238524384,181,313
213,0.4952712117979697,0.4965278846101392,-0.0012566728121695125,181,282
214,0.4127959094727371,0.44171877873370413,-0.028922869260967043,181,311
215,0.46111157013412646,0.5360472683114416,-0.0749356981773151,181,271
216,0.46448502853459667,0.5026456491336794,-0.038160620599082706,181,288
217,0.43649665571696417,0.4961781261641941,-0.059681470447229934,181,318
218,0.45103085057490194,0.4621895667047063,-0.011158716129804347,181,310
219,0.4692225337756278,0.4434342096675587,0.025788324108069083,181,355
220,0.43579386832702843,0.498702549905393,-0.06290868157836454,181,310
221,0.4572490181843488,0.4670771722047528,-0.00982815402040399,181,303
222,0.42478663397194044,0.4990645503693549,-0.07427791639741443,181,333
223,0.43700454762893465,0.4942617930863053,-0.057257245457370654,181,341
224,0.459554814386932,0.4489685685280307,0.010586245858901333,181,324
225,0.48526439675240496,0.4452039017892676,0.04006049496313735,181,337
226,0.45233351502500724,0.5039917880698631,-0.051658273044855874,181,310
